filename,width,height,class,xmin,ymin,xmax,ymax
render-1638.jpg,640,480,outer_port,281,189,379,310
render-862.jpg,640,480,inner_port,286,228,331,272
render-862.jpg,640,480,outer_port,221,159,376,289
render-1944.jpg,640,480,bottom_port,89,337,217,377
render-1944.jpg,640,480,outer_port,105,60,234,163
render-306.jpg,640,480,bottom_port,271,412,365,443
render-306.jpg,640,480,inner_port,302,245,332,274
render-306.jpg,640,480,outer_port,270,200,367,279
render-358.jpg,640,480,inner_port,361,278,399,315
render-358.jpg,640,480,outer_port,308,224,433,333
render-1786.jpg,640,480,bottom_port,143,299,215,329
render-1786.jpg,640,480,outer_port,146,87,223,178
render-1250.jpg,640,480,outer_port,322,221,416,339
render-1507.jpg,640,480,outer_port,177,104,305,249
render-1124.jpg,640,480,inner_port,276,240,314,278
render-1124.jpg,640,480,outer_port,253,182,380,296
render-1739.jpg,640,480,bottom_port,167,280,231,305
render-1739.jpg,640,480,outer_port,168,112,238,183
render-1343.jpg,640,480,inner_port,380,311,420,350
render-1343.jpg,640,480,outer_port,345,255,476,365
render-1383.jpg,640,480,bottom_port,183,338,270,366
render-1383.jpg,640,480,inner_port,227,169,256,198
render-1383.jpg,640,480,outer_port,184,130,278,211
render-1553.jpg,640,480,inner_port,397,319,437,357
render-1553.jpg,640,480,outer_port,359,264,490,375
render-1743.jpg,640,480,bottom_port,99,339,199,386
render-1743.jpg,640,480,outer_port,114,45,213,174
render-286.jpg,640,480,bottom_port,115,258,175,287
render-286.jpg,640,480,outer_port,116,61,182,148
render-639.jpg,640,480,outer_port,397,292,541,419
render-535.jpg,640,480,bottom_port,214,329,282,355
render-535.jpg,640,480,outer_port,215,149,288,224
render-1280.jpg,640,480,bottom_port,327,437,388,475
render-1280.jpg,640,480,outer_port,323,222,384,313
render-999.jpg,640,480,bottom_port,163,317,248,346
render-999.jpg,640,480,inner_port,217,157,245,185
render-999.jpg,640,480,outer_port,167,113,258,193
render-461.jpg,640,480,outer_port,175,104,316,250
render-877.jpg,640,480,bottom_port,351,449,433,477
render-877.jpg,640,480,inner_port,379,286,406,312
render-877.jpg,640,480,outer_port,344,253,431,329
render-222.jpg,640,480,bottom_port,119,271,181,304
render-222.jpg,640,480,outer_port,124,61,189,155
render-1102.jpg,640,480,bottom_port,238,410,318,451
render-1102.jpg,640,480,outer_port,238,159,323,262
render-1872.jpg,640,480,bottom_port,127,285,207,313
render-1872.jpg,640,480,inner_port,135,120,164,149
render-1872.jpg,640,480,outer_port,125,81,214,166
render-1379.jpg,640,480,inner_port,388,304,417,332
render-1379.jpg,640,480,outer_port,356,263,451,344
render-883.jpg,640,480,outer_port,312,206,373,313
render-1629.jpg,640,480,bottom_port,284,391,355,421
render-1629.jpg,640,480,outer_port,283,202,357,279
render-122.jpg,640,480,outer_port,323,221,409,335
render-12.jpg,640,480,bottom_port,125,333,220,371
render-12.jpg,640,480,outer_port,126,74,229,183
render-1462.jpg,640,480,outer_port,417,290,545,428
render-442.jpg,640,480,outer_port,450,319,542,419
render-1385.jpg,640,480,inner_port,249,230,290,273
render-1385.jpg,640,480,outer_port,238,166,372,295
render-230.jpg,640,480,inner_port,365,271,394,301
render-230.jpg,640,480,outer_port,312,226,408,315
render-1646.jpg,640,480,bottom_port,88,351,220,393
render-1646.jpg,640,480,inner_port,139,124,179,162
render-1646.jpg,640,480,outer_port,99,56,235,174
render-1927.jpg,640,480,bottom_port,360,439,418,468
render-1927.jpg,640,480,outer_port,353,251,414,328
render-170.jpg,640,480,outer_port,429,310,511,394
render-1526.jpg,640,480,outer_port,201,127,316,255
render-1483.jpg,640,480,bottom_port,111,260,188,289
render-1483.jpg,640,480,outer_port,114,67,197,149
render-1582.jpg,640,480,bottom_port,168,326,248,359
render-1582.jpg,640,480,inner_port,167,149,195,179
render-1582.jpg,640,480,outer_port,165,111,254,200
render-1500.jpg,640,480,inner_port,435,329,465,359
render-1500.jpg,640,480,outer_port,394,288,490,373
render-1894.jpg,640,480,outer_port,160,110,330,229
render-1432.jpg,640,480,bottom_port,61,373,220,425
render-1432.jpg,640,480,outer_port,90,43,242,163
render-1285.jpg,640,480,bottom_port,250,393,311,427
render-1285.jpg,640,480,outer_port,251,163,315,260
render-1823.jpg,640,480,bottom_port,118,271,198,298
render-1823.jpg,640,480,inner_port,132,114,160,142
render-1823.jpg,640,480,outer_port,117,76,205,157
render-1947.jpg,640,480,outer_port,394,282,462,358
render-1630.jpg,640,480,inner_port,451,356,506,409
render-1630.jpg,640,480,outer_port,364,262,551,428
render-805.jpg,640,480,bottom_port,274,385,343,412
render-805.jpg,640,480,outer_port,272,194,346,271
render-1188.jpg,640,480,bottom_port,300,434,382,466
render-1188.jpg,640,480,outer_port,297,212,382,300
render-1814.jpg,640,480,inner_port,407,312,439,344
render-1814.jpg,640,480,outer_port,359,263,465,356
render-596.jpg,640,480,bottom_port,313,421,394,449
render-596.jpg,640,480,inner_port,344,259,371,286
render-596.jpg,640,480,outer_port,309,227,396,302
render-737.jpg,640,480,bottom_port,216,403,324,439
render-737.jpg,640,480,inner_port,264,210,298,242
render-737.jpg,640,480,outer_port,220,159,331,251
render-1621.jpg,640,480,outer_port,208,143,363,277
render-1418.jpg,640,480,outer_port,255,186,392,302
render-863.jpg,640,480,bottom_port,260,446,365,480
render-863.jpg,640,480,inner_port,270,233,304,267
render-863.jpg,640,480,outer_port,259,185,368,288
render-913.jpg,640,480,bottom_port,188,368,291,401
render-913.jpg,640,480,inner_port,238,189,270,219
render-913.jpg,640,480,outer_port,194,138,300,224
render-5.jpg,640,480,bottom_port,108,292,195,324
render-5.jpg,640,480,outer_port,111,62,204,160
render-1595.jpg,640,480,inner_port,376,308,405,337
render-1595.jpg,640,480,outer_port,358,265,452,346
render-1581.jpg,640,480,inner_port,435,349,474,388
render-1581.jpg,640,480,outer_port,404,295,535,407
render-1592.jpg,640,480,bottom_port,231,412,335,446
render-1592.jpg,640,480,inner_port,273,212,307,245
render-1592.jpg,640,480,outer_port,231,167,341,261
render-111.jpg,640,480,bottom_port,116,316,215,348
render-111.jpg,640,480,inner_port,168,120,201,153
render-111.jpg,640,480,outer_port,114,75,224,170
render-1633.jpg,640,480,outer_port,281,193,374,301
render-1261.jpg,640,480,bottom_port,73,360,183,412
render-1261.jpg,640,480,outer_port,91,19,199,168
render-1128.jpg,640,480,bottom_port,357,442,435,469
render-1128.jpg,640,480,inner_port,388,293,414,318
render-1128.jpg,640,480,outer_port,351,258,431,330
render-1404.jpg,640,480,bottom_port,116,385,230,438
render-1404.jpg,640,480,outer_port,137,62,245,201
render-284.jpg,640,480,outer_port,440,314,510,393
render-1016.jpg,640,480,outer_port,374,272,460,357
render-708.jpg,640,480,outer_port,367,254,426,345
render-756.jpg,640,480,bottom_port,149,318,208,357
render-756.jpg,640,480,outer_port,158,78,218,185
render-83.jpg,640,480,bottom_port,327,410,387,438
render-83.jpg,640,480,outer_port,322,230,386,304
render-850.jpg,640,480,bottom_port,398,473,460,480
render-850.jpg,640,480,outer_port,388,276,452,355
render-1665.jpg,640,480,outer_port,391,297,529,405
render-1855.jpg,640,480,inner_port,279,259,337,313
render-1855.jpg,640,480,outer_port,210,158,415,319
render-1933.jpg,640,480,outer_port,341,251,450,350
render-1348.jpg,640,480,bottom_port,173,367,236,414
render-1348.jpg,640,480,outer_port,174,95,243,211
render-132.jpg,640,480,bottom_port,125,256,191,281
render-132.jpg,640,480,outer_port,125,77,197,153
render-579.jpg,640,480,bottom_port,162,408,274,454
render-579.jpg,640,480,outer_port,171,105,284,229
